Topic,Content
lgbtq youth,"@EmoAsukaLangley @nhathaniel_h @KennyOmegamanX Suicide is the 2nd leading cause of death among people aged 10 to 24 (Hedegaard, Curtin, &amp; Warner, 2018) — and LGBTQ youth are at increased risk. LGBTQ youth are more than 4x as likely to attempt suicide than their peers (Johns et al., 2019; Johns et al., 2020)."
lgbtq youth,@ingenius_one @caslernoel That’s why misguided people want to give kids surgery and drugs to alter their natural biology to affirm their identity delusion which is adopted by environment. Hence why we see % of youth identifying as “LGBTQ+“ multiplying each year the more we indoctrinate them through cultur
lgbtq youth,"@seanhannity I'm sorry to have to tell people this but Im fed up with WOKE, LGBTQ, BLM,KKK,NBC, ABC ,CNN ,and all these other organizations that's main objectives are to molest children, indoctrination homosexual activity to  our youth, divide us to skin color and hold back truth to America"
lgbtq youth,"Last year, five transgender people were killed in the Pacific Northwest, per HRC. And more than 300 anti-LGBTQ+ bills were filed in 2022, with most targeting transgender youth in sports and health care."""
lgbtq youth,"❤️💜We're selling raffle tickets! All proceeds will be split between our LGBTQ+ yOUTh Service and our HIV service to help young people and families.❤️💜

Drop us a message for more info! https://t.co/oghnrsx5BM"
lgbtq youth,"A wonderful opportunity to spend this Saturday discovering more about LGBTQ+ history through talks, workshops, exhibitions and more! 🌈 

@Genderintell's young people aim to empower today's youth in sharing what progressive research is being undertaken!
https://t.co/SOsJ7ZvMUw"
lgbtq youth,"@Ulfhedrengr Think about what is being pushed on the youth now. Child transitioning, LGBTQ porn, cigarette smoke as opposed to vaping, racist woke ideas, fentanyl. No ideas around starting a family, having kids, having traditional moral values, staying in shape. They want people to disappear."
lgbtq youth,donate to different charities that support the youth in this community and also just being a open the the lgbtq+ community and being a safe person for people to go too https://t.co/mKSpPjuMHB
lgbtq youth,Thanks to @Axess_SH for your session today esp on how to access PrEP and PEP and thanks to @SahirHouse for your info leaflets and #RedRibbons. Staff and young people wear them with pride! #WorldAIDSDay2022 #WAD #LGBTQyouth https://t.co/2W3QunebbZ
lgbtq youth,@ellee_bellee @goldensateIIite @noangel69420 @willfulchaos Harry styles and the average youth are 2 completely different scenarios. People in the LGBTQ+ community are allowed to have reservations about a celebrity
lgbtq youth,"Queer media has become mainstay, but less than half of LGBTQ+ youth feel represented &amp; just 38% of those who seek out queer content are satisfied with the way LGBTQ+ people are represented https://t.co/puLm7QsvFj via @thedrum"
lgbtq youth,"X2Y is a small charity based in Wolverhampton &amp; Black Country. We work with LGBTQ+ (Lesbian, Gay, Bi, Trans or Questioning) young people aged 11-25. We run youth groups &amp; support young people in local schools, training, advice and guidance.

More Info! https://t.co/grNzmSralp https://t.co/6yXkVFRevk"
lgbtq youth,"The Right doesn't want free speech when it comes to our history of slavery &amp; civil rights.

The Right wants to erase LGBTQ people - as teachers, as youth, as leaders. 

The Choice Is Clear - The GOP must embrace OBLIVION - as the American people do not want its DATED ideas. https://t.co/m4V3BYFRmm"
lgbtq youth,"@Raul__Valverde @Cry5t13 @CP24 And homeless should be given a safe space. This applies as well to women and youth shelters. LGBTQ people are at increased risk already, and you’d be shocked of incidents that happen in shelter. Everyone deserves a safe space. Simple."
